timestamp,par,direcao,preco_entrada,score_tecnico,score_ia
2025-04-09 08:42:06,XRP/USDT,buy,,,
2025-04-09 08:42:07,DOGE/USDT,buy,,,
2025-04-09 08:42:08,TRX/USDT,buy,,,
2025-04-09 08:43:09,XRP/USDT,buy,,,
2025-04-09 08:43:10,DOGE/USDT,buy,,,
2025-04-09 08:43:11,TRX/USDT,buy,,,
2025-04-09 08:43:51,XRP/USDT,buy,,,
2025-04-09 08:43:51,DOGE/USDT,buy,,,
2025-04-09 08:43:52,TRX/USDT,buy,,,
2025-04-09 08:44:52,XRP/USDT,buy,,,
2025-04-09 08:44:53,DOGE/USDT,buy,,,
2025-04-09 08:44:53,TRX/USDT,buy,,,
2025-04-09 08:45:54,XRP/USDT,buy,,,
2025-04-09 08:45:55,DOGE/USDT,buy,,,
2025-04-09 08:45:55,TRX/USDT,buy,,,
2025-04-09 08:49:11,XRP/USDT,sell,,,
2025-04-09 08:49:12,TRX/USDT,sell,,,
2025-04-09 08:50:13,TRX/USDT,sell,,,
2025-04-09 08:51:14,TRX/USDT,sell,,,
2025-04-09 08:52:15,TRX/USDT,sell,,,
2025-04-09 08:59:48,XRP/USDT,sell,,20,
2025-04-09 09:00:49,DOGE/USDT,buy,,10,
2025-04-09 09:01:50,XRP/USDT,buy,,10,
2025-04-09 09:01:51,DOGE/USDT,buy,,10,
2025-04-09 09:03:52,XRP/USDT,sell,,10,
2025-04-09 09:04:54,XRP/USDT,sell,,10,
2025-04-09 09:05:55,TRX/USDT,buy,,10,
2025-04-09 09:06:56,XRP/USDT,sell,,10,
2025-04-09 09:06:57,DOGE/USDT,sell,,10,
2025-04-09 09:07:58,DOGE/USDT,sell,,10,
2025-04-09 09:08:59,XRP/USDT,sell,,10,
2025-04-09 09:08:59,DOGE/USDT,sell,,10,
2025-04-09 09:09:00,TRX/USDT,sell,,10,
2025-04-09 09:10:01,XRP/USDT,sell,,10,
2025-04-09 09:10:01,DOGE/USDT,sell,,10,
2025-04-09 09:10:02,TRX/USDT,sell,,10,
2025-04-09 09:11:02,XRP/USDT,sell,,10,
2025-04-09 09:11:03,TRX/USDT,sell,,10,
2025-04-09 09:12:04,XRP/USDT,sell,,10,
2025-04-09 09:12:04,DOGE/USDT,sell,,10,
2025-04-09 09:12:05,TRX/USDT,sell,,10,
2025-04-09 09:13:06,XRP/USDT,sell,,10,
2025-04-09 09:13:06,DOGE/USDT,sell,,10,
2025-04-09 09:13:07,TRX/USDT,sell,,20,
2025-04-09 09:14:07,XRP/USDT,sell,,10,
2025-04-09 09:14:08,DOGE/USDT,sell,,10,
2025-04-09 09:14:08,TRX/USDT,sell,,10,
2025-04-09 09:15:09,XRP/USDT,sell,,40,
2025-04-09 09:15:10,DOGE/USDT,sell,,40,
2025-04-09 09:15:10,TRX/USDT,sell,,30,
2025-04-09 09:17:12,XRP/USDT,sell,,20,
2025-04-09 09:17:12,DOGE/USDT,sell,,30,
2025-04-09 09:17:13,TRX/USDT,sell,,30,
2025-04-09 09:18:14,XRP/USDT,sell,,10,
2025-04-09 09:18:14,DOGE/USDT,sell,,10,
2025-04-09 09:22:18,XRP/USDT,buy,,10,
2025-04-09 09:22:19,TRX/USDT,buy,,10,
2025-04-09 09:23:19,XRP/USDT,buy,,20,
2025-04-09 09:23:20,DOGE/USDT,buy,,10,
2025-04-09 09:23:20,TRX/USDT,buy,,10,
2025-04-09 09:24:21,XRP/USDT,buy,,10,
2025-04-09 09:24:22,DOGE/USDT,buy,,10,
2025-04-09 09:24:22,TRX/USDT,buy,,10,
2025-04-09 09:25:23,XRP/USDT,buy,,10,
2025-04-09 09:25:23,DOGE/USDT,buy,,10,
2025-04-09 09:25:24,TRX/USDT,buy,,10,
2025-04-09 09:26:39,XRP/USDT,buy,,10,
2025-04-09 09:26:39,DOGE/USDT,buy,,10,
2025-04-09 09:27:40,XRP/USDT,buy,,10,
2025-04-09 09:27:41,DOGE/USDT,buy,,10,
2025-04-09 09:27:41,TRX/USDT,buy,,10,
2025-04-09 09:28:42,XRP/USDT,buy,,10,
2025-04-09 09:28:43,TRX/USDT,buy,,30,
2025-04-09 09:29:44,XRP/USDT,buy,,10,
2025-04-09 09:29:44,DOGE/USDT,buy,,10,
2025-04-09 09:29:45,TRX/USDT,buy,,10,
2025-04-09 09:30:45,XRP/USDT,buy,,30,
2025-04-09 09:32:23,XRP/USDT,buy,,30,
2025-04-09 09:32:24,DOGE/USDT,buy,,40,
2025-04-09 09:32:24,TRX/USDT,buy,,40,
2025-04-09 09:33:25,XRP/USDT,buy,,30,
2025-04-09 09:33:26,DOGE/USDT,buy,,30,
2025-04-09 09:33:26,TRX/USDT,buy,,40,
2025-04-09 09:34:27,XRP/USDT,buy,,20,
2025-04-09 09:34:28,DOGE/USDT,buy,,30,
2025-04-09 09:34:28,TRX/USDT,buy,,30,
2025-04-09 09:35:29,TRX/USDT,buy,,30,
2025-04-09 09:36:31,TRX/USDT,buy,,40,
2025-04-09 09:37:31,DOGE/USDT,buy,,10,
2025-04-09 09:37:32,TRX/USDT,buy,,40,
2025-04-09 09:38:33,XRP/USDT,buy,,10,
2025-04-09 09:38:33,DOGE/USDT,buy,,10,
2025-04-09 09:38:34,TRX/USDT,buy,,30,
2025-04-09 09:39:35,TRX/USDT,buy,,30,
2025-04-09 09:40:36,TRX/USDT,buy,,30,
2025-04-09 09:42:37,XRP/USDT,sell,,10,
2025-04-09 09:47:42,XRP/USDT,sell,,10,
2025-04-09 09:47:43,DOGE/USDT,sell,,30,
2025-04-09 09:47:43,TRX/USDT,sell,,10,
2025-04-09 09:48:44,XRP/USDT,sell,,10,
2025-04-09 09:48:45,DOGE/USDT,sell,,10,
2025-04-09 09:48:45,TRX/USDT,sell,,10,
2025-04-09 09:49:46,XRP/USDT,sell,,40,
2025-04-09 09:49:46,DOGE/USDT,sell,,40,
2025-04-09 09:49:47,TRX/USDT,sell,,30,
2025-04-09 09:50:48,XRP/USDT,sell,,30,
2025-04-09 09:50:48,DOGE/USDT,sell,,30,
2025-04-09 09:50:49,TRX/USDT,sell,,40,
2025-04-09 09:51:14,XRP/USDT,sell,,30,
2025-04-09 09:51:15,DOGE/USDT,sell,,30,
2025-04-09 09:51:15,TRX/USDT,sell,,30,
2025-04-09 09:52:16,XRP/USDT,sell,,30,
2025-04-09 09:52:17,DOGE/USDT,sell,,30,
2025-04-09 09:52:17,TRX/USDT,sell,,30,
2025-04-09 09:52:41,XRP/USDT,sell,,30,
2025-04-09 09:52:42,DOGE/USDT,sell,,30,
2025-04-09 09:52:42,TRX/USDT,sell,,40,
2025-04-09 09:53:43,XRP/USDT,sell,,30,
2025-04-09 09:53:44,DOGE/USDT,sell,,30,
2025-04-09 09:53:44,TRX/USDT,sell,,40,
2025-04-09 09:54:45,XRP/USDT,sell,,30,
2025-04-09 09:54:45,DOGE/USDT,sell,,30,
2025-04-09 09:54:46,TRX/USDT,sell,,40,
2025-04-09 09:55:11,XRP/USDT,sell,,30,
2025-04-09 09:55:12,DOGE/USDT,sell,,30,
2025-04-09 09:55:12,TRX/USDT,sell,,40,
2025-04-09 09:56:13,XRP/USDT,sell,,30,
2025-04-09 09:56:13,DOGE/USDT,sell,,30,
2025-04-09 09:56:14,TRX/USDT,sell,,30,
2025-04-09 09:57:15,XRP/USDT,sell,,20,
2025-04-09 09:57:16,DOGE/USDT,sell,,30,
2025-04-09 09:57:16,TRX/USDT,sell,,30,
2025-04-09 09:58:17,XRP/USDT,sell,,20,
2025-04-09 09:58:18,DOGE/USDT,sell,,30,
2025-04-09 09:58:18,TRX/USDT,sell,,30,
2025-04-09 10:03:33,XRP/USDT,buy,,10,
2025-04-09 10:03:34,TRX/USDT,sell,,20,
2025-04-09 10:04:34,XRP/USDT,buy,,10,
2025-04-09 10:04:35,DOGE/USDT,sell,,10,
2025-04-09 10:04:35,TRX/USDT,sell,,30,
2025-04-09 10:05:36,XRP/USDT,buy,,10,
2025-04-09 10:05:37,TRX/USDT,sell,,30,
2025-04-09 10:06:38,DOGE/USDT,sell,,30,
2025-04-09 10:06:38,TRX/USDT,sell,,30,
2025-04-09 10:07:39,DOGE/USDT,sell,,30,
2025-04-09 10:07:40,TRX/USDT,sell,,30,
2025-04-09 10:08:40,XRP/USDT,buy,,10,
2025-04-09 10:08:41,TRX/USDT,sell,,20,
2025-04-09 10:09:42,XRP/USDT,buy,,20,
2025-04-09 10:09:43,TRX/USDT,sell,,20,
2025-04-09 10:10:43,XRP/USDT,buy,,20,
2025-04-09 10:11:44,XRP/USDT,buy,,10,
2025-04-09 10:12:45,XRP/USDT,buy,,10,
2025-04-09 10:13:47,XRP/USDT,buy,,10,
2025-04-09 10:13:47,DOGE/USDT,buy,,10,
2025-04-09 10:13:48,TRX/USDT,sell,,30,
2025-04-09 10:14:48,XRP/USDT,buy,,30,
2025-04-09 10:14:49,DOGE/USDT,buy,,10,
2025-04-09 10:14:49,TRX/USDT,sell,,40,
2025-04-09 10:15:50,XRP/USDT,buy,,10,
